Position,FirstName,LastName,Nationality,Time
1,Frank,Shorter,United States of America,2:12:19
2,Karel,Lismont,Belgium,2:14:31
3,Mamo,Wolde,Ethiopia,2:15:08
4,Kenneth,Moore,United States of America,2:15:39
5,Kenji,Kimihara,Japan,2:16:27
6,Ron,Hill,Great Britain,2:16:30
7,Donald,MacGregor,Great Britain,2:16:34
8,Jack,Foster,New Zealand,2:16:56
9,Jack,Bacheler,United States of America,2:17:38
10,Lengissa,Bedane,Ethiopia,2:18:36
11,Seppo,Nikkari,Finland,2:18:49
12,Akio,Usami,Japan,2:18:58
13,Derek,Clayton,Australia,2:19:49
14,Yuri,Velikorodnykh,Soviet Union,2:20:02
15,Anatoly,Baranov,Soviet Union,2:20:10
16,Paul,Angenvoorth,West Germany,2:20:19
17,Richard,Mabuza,Swaziland,2:20:39
18,Demisse,Wolde,Ethiopia,2:20:44
19,Reino,Paukkonen,Finland,2:21:06
20,Colin,Kirkham,Great Britain,2:21:54
21,Antonio,Brutti,Italy,2:22:12
22,Dave,McKenzie,New Zealand,2:22:19
23,Daniel,McDaid,Ireland,2:22:25
24,Renato,Martini,Italy,2:22:41
25,Eckhard,Lesse,East Germany,2:22:49
26,Jacinto,Sabinal,Mexico,2:22:56
27,Gyula,Tóth,Hungary,2:22:59
28,Fernand,Kolbeck,France,2:23:01
29,Hernándo,Barreneche,Colombia,2:23:40
30,Jørgen,Jensen,Denmark,2:24:00
31,Manfred,Steffny,West Germany,2:24:25
32,Lutz,Philipp,West Germany,2:24:25
33,Ferenc,Szekeres,Hungary,2:25:17
34,Terry,Manners,Australia,2:25:29
35,Igor,Cherbak,Soviet Union,2:25:37
36,Yoshiaki,Unetami,Japan,2:25:59
37,Kim,Chang-Son,North Korea,2:26:45
38,Franco,de Menego,Italy,2:26:52
39,Agustin,Fernández-Diaz,Spain,2:27:14
40,Edward,Stawiarz,Poland,2:28:12
41,Armando,Aldegalega,Portugal,2:28:24
42,Desmond,McGann,Ireland,2:28:31
43,Carlos,Cuque,Guatemala,2:28:37
44,Alfons,Sidler,Switzerland,2:29:09
45,Alfredo,Penaloza,Mexico,2:29:51
46,Walter,van Renterghem,Belgium,2:29:58
47,Donald,Walsh,Ireland,2:31:12
48,Álvaro,Mejía,Colombia,2:31:56
49,Ryu,Man-Hyong,North Korea,2:32:29
50,Carlos,Pérez,Spain,2:33:22
51,Rafael,Tadeo,Mexico,2:35:48
52,Víctor,Mora,Colombia,2:37:34
53,Fernando,Molina,Argentina,2:38:18
54,Julio,Quevedo,Guatemala,2:40:38
55,Ramón,Cabrera,Argentina,2:42:37
56,Matthews,Kambale,Malawi,2:45:50
57,Hla,Thein,Myanmar,2:48:53
58,Ricardo,Condori,Bolivia,2:56:11
59,Fulgence,Kwabu,Uganda,2:57:04
60,Bahadur,Jit Bahktra,Nepal,2:57:58
61,Crispin,Quispe,Bolivia,3:07:22
62,Maurice,Charlotin,Haiti,3:29:21
